abbrev,        name,                                        scalerank,        type,             location,                                   country,                        city,                           city_location,              elevation
MDG,           Mudanjiang Hailang,                          8,                major,            POINT(129.58015153222 44.5342936299935),    China,                          Mudanjiang,                     POINT(129.5997 44.5861),    
ULMM,          Severomorsk-3 (Murmansk N.E.),               8,                military:major,   POINT(33.2903527616285 69.0168711826804),   Russia,                         Murmansk,                       POINT(33.075 68.9706),      
OSB,           Mosul Int'l,                                 8,                mid,              POINT(43.145802 36.308601),                 Iraq,                           Mosul,                          POINT(43.13 36.34),         
,              Rostov N.,                                   8,                military:mid,     POINT(39.6353996343665 47.2774209202867),   Russia,                         Bataysk,                        POINT(39.7333 47.1667),     
,              Rostov S.W.,                                 8,                mid,              POINT(39.7972215345149 47.1158577255835),   Russia,                         Bataysk,                        POINT(39.7333 47.1667),     
OUL,           Oulu,                                        8,                mid,              POINT(25.3728374704307 64.9287992358849),   Finland,                        Oulu,                           POINT(25.4719 65.0142),     15.0
BOD,           Bordeaux,                                    8,                major,            POINT(-0.701793449075243 44.8321108662674), France,                         Bordeaux,                       POINT(-0.58 44.84),         50.0
CEQ,           Mandelieu,                                   8,                mid,              POINT(6.95431612028937 43.546097987045),    France,                         Mandelieu-la-Napoule,           POINT(6.9381 43.5464),      4.0
DOL,           St Gatien,                                   8,                mid,              POINT(0.158653528230218 49.3616609986609),  France,                         Le Havre,                       POINT(0.1 49.49),           146.0
LIL,           Lille-Lesquin,                               8,                mid,              POINT(3.10596499799813 50.5716423929581),   France,                         Roubaix,                        POINT(3.1817 50.6901),      48.0
TLS,           Toulouse-Blagnac,                            8,                major,            POINT(1.37350918551153 43.6304625661601),   France,                         Toulouse,                       POINT(1.444 43.6045),       153.0
FUK,           Fukuoka,                                     8,                major,            POINT(130.444189541884 33.5848164332573),   Japan,                          Fukuoka,                        POINT(130.4 33.5833),       10.0
HIW,           Hiroshima-Nishi,                             8,                mid,              POINT(132.419372741681 34.3713815628829),   Japan,                          Hiroshima,                      POINT(132.4519 34.3914),    
NKM,           Nagoya,                                      8,                mid,              POINT(136.91962838414 35.2540532052867),    Japan,                          Nagoya,                         POINT(136.9 35.1833),       
SDJ,           Sendai,                                      8,                mid,              POINT(140.930247381369 38.1382075615287),   Japan,                          Sendai,                         POINT(140.8694 38.2682),    5.0
KKN,           Kirkenes Hoybuktmoen,                        8,                mid,              POINT(29.8913489500406 69.7238318113692),   Russia,                         Nikel,                          POINT(30.2206 69.4081),     87.0
CGB,           Marechal Rondon Int'l,                       8,                mid,              POINT(-56.1201774754724 -15.6511470191955), Brazil,                         Várzea Grande,                  POINT(-56.1333 -15.65),     188.0
FLN,           Hercilio Luz Int'l,                          8,                major,            POINT(-48.5448122049599 -27.6646276941638), Brazil,                         Florianópolis,                  POINT(-48.4853 -27.6122),   6.0
JOI,           Joinville-Lauro C. de Loyola,                8,                mid,              POINT(-48.8016498165616 -26.2242941374785), Brazil,                         Joinvile,                       POINT(-48.8437 -26.3204),   5.0
JPA,           Presidente Castro Pinto Int'l,               8,                mid,              POINT(-34.9488925911125 -7.14617462402047), Brazil,                         João Pessoa,                    POINT(-34.88 -7.12),        502.0
NAT,           Augusto Severo Int'l,                        8,                major,            POINT(-35.2488410165389 -5.89912054477116), Brazil,                         Natal,                          POINT(-35.2 -5.7833),       52.0
OPO,           Francisco Sa Carneiro,                       8,                major,            POINT(-8.67127240719647 41.2368708920452),  Portugal,                       Matosinhos,                     POINT(-8.7 41.1833),        70.0
SLZ,           Marechal Cunha Machado Int'l,                8,                mid,              POINT(-44.2362344700492 -2.58350921043019), Brazil,                         São Luís,                       POINT(-44.3044 -2.5283),    55.0
SSZ,           Santos Air Force Base,                       8,                military:mid,     POINT(-46.3052704931003 -23.9237590410637), Brazil,                         Santos,                         POINT(-46.325 -23.9369),    4.0
THE,           Teresina-Senador Petronio Portella,          8,                mid,              POINT(-42.8212402317845 -5.06346299167191), Brazil,                         Teresina,                       POINT(-42.8042 -5.0949),    67.0
VCP,           Viracopos-Campinas Int'l,                    8,                mid,              POINT(-47.1410791911014 -23.0096239085339), Brazil,                         Campinas,                       POINT(-47.0608 -22.9058),   662.0
VIX,           Eurico de Aguiar Salles,                     8,                mid,              POINT(-40.2885368759913 -20.2574162759418), Brazil,                         Vitória,                        POINT(-40.3083 -20.2889),   4.0
ALC,           Alicante,                                    8,                major,            POINT(-0.557230440363588 38.2866408993929), Spain,                          Alicante,                       POINT(-0.4831 38.3453),     44.0
LEI,           Almeria,                                     8,                mid,              POINT(-2.3716014405912 36.8477672709643),   Spain,                          Almería,                        POINT(-2.4681 36.8403),     22.0
VLC,           Valencia,                                    8,                mid,              POINT(-0.473474930771676 39.4914597884489), Spain,                          Paterna,                        POINT(-0.4406 39.5028),     69.0
KRN,           Kiruna_Airport,                              8,                mid,              POINT(20.3351522954898 67.8256066056432),   Sweden,                         Kiruna,                         POINT(20.3028 67.8489),     460.0
NRK,           Norrköping Airport,                          8,                major,            POINT(16.2339407695814 58.5833805017541),   Sweden,                         Norrköping,                     POINT(16.2 58.6),           10.0
BDO,           Husein Sastranegara Int'l,                   8,                mid,              POINT(107.575611852209 -6.90042408353409),  Indonesia,                      Cimahi,                         POINT(107.5548 -6.8712),    741.0
ROS,           Rosario – Islas Malvinas Int'l,              8,                mid,              POINT(-60.7800787216586 -32.9162269743812), Argentina,                      Funes,                          POINT(-60.8167 -32.9167),   26.0
MCZ,           Maceio/Zumbi dos Palmares Int'l,             8,                mid,              POINT(-35.7924951215833 -9.51494118540116), Brazil,                         Maceió,                         POINT(-35.735 -9.6658),     118.0
SSH,           Sharm el-Sheikh Int'l,                       8,                mid,              POINT(34.3901189267288 27.9804044199168),   Egypt,                          Sharm ash Shaykh,               POINT(34.3297 27.9122),     
TCP,           Taba Int'l,                                  8,                mid,              POINT(34.7758378996779 29.5944990568019),   Jordan,                         Al ‘Aqabah,                     POINT(35.0056 29.5319),     
AGR,           Agra,                                        8,                major:military,   POINT(77.960909176509 27.15772773475),      India,                          Agwār,                          POINT(78.02 27.18),         168.0
BDQ,           Vadodara,                                    8,                mid,              POINT(73.2262889533239 22.3361640021171),   India,                          Vadodara,                       POINT(73.2 22.3),           39.0
KSH,           Shahid Ashrafi Esfahani,                     8,                mid,              POINT(47.1565835165639 34.3464167739108),   Iran,                           Kermānshāh,                     POINT(47.065 34.3142),      1313.0
BEN,           Benina Int'l,                                8,                mid,              POINT(20.2680398018516 32.0872774606553),   Libya,                          Benghazi,                       POINT(20.0667 32.1167),     132.0
DHA,           King Abdulaziz AB,                           8,                military:major,   POINT(50.1477245727844 26.2703680854768),   Saudi Arabia,                   Dhahran,                        POINT(50.15 26.2667),       26.0
STY,           Nueva Hespérides Int'l,                      8,                mid,              POINT(-57.9840821176492 -31.4373883387798), Argentina,                      Federación,                     POINT(-57.9167 -30.9833),   57.0
BAIK,          Baikonur Cosmodrome,                         8,                spaceport,        POINT(63.307354423875 45.9635739403124),    Kazakhstan,                     Baikonur,                       POINT(63.3167 45.6167),     
KSC,           Kennedy Space Center,                        8,                spaceport,        POINT(-80.6369680911892 28.5163704772027),  United States,                  Titusville,                     POINT(-80.8193 28.5727),    231.0
CSG,           Centre Spatial Guyanais,                     8,                spaceport,        POINT(-52.7684296893452 5.23941001258035),  French Guiana,                  Kourou,                         POINT(-52.6499 5.16),       
AUA,           Queen Beatrix Int'l,                         7,                mid,              POINT(-70.0076228563496 12.5034643630297),  Aruba,                          Tanki Leendert,                 POINT(-70.022 12.5418),     19.0
JIB,           Djibouti-Ambouli Int'l,                      7,                mid,              POINT(43.1497127859956 11.5521018230172),   Djibouti,                       Djibouti,                       POINT(43.145 11.5883),      
IQQ,           Diego Aracena Int'l,                         7,                mid:military,     POINT(-70.178635395533 -20.5478400878309),  Chile,                          Iquique,                        POINT(-70.15 -20.2167),     48.0
SAW,           Sabiha Gökçen Havaalani,                     7,                major,            POINT(29.3095991423889 40.9043003553957),   Turkey,                         Istanbul,                       POINT(28.955 41.0136),      
KSA,           Kosrae Island,                               7,                mid,              POINT(162.957041225076 5.3520098571828),    Federated States of Micronesia, Tofol,                          POINT(163.0086 5.3258),     4.0
FUN,           Funafuti Int'l,                              7,                mid,              POINT(179.19544202302 -8.52485415059424),   Tuvalu,                         Funafuti,                       POINT(179.2 -8.5167),       0.0
NAG,           Dr. Babasaheb Ambedkar Int'l,                7,                mid,              POINT(79.0537976421986 21.0899317630087),   India,                          Nāgpur,                         POINT(79.0806 21.1497),     309.0
HKT,           Phuket Int'l,                                7,                mid,              POINT(98.3060384900559 8.10768475952735),   Thailand,                       Phuket,                         POINT(98.3975 7.8881),      25.0
NAN,           Nadi Int'l,                                  7,                mid,              POINT(177.451151198059 -17.7529129479792),  Fiji,                           Nadi,                           POINT(177.4167 -17.8),      18.0
AGU,           Lic. Jesús Terán Peredo Int'l,               7,                mid,              POINT(-102.314093740058 21.7013390329207),  Mexico,                         Aguascalientes,                 POINT(-102.296 21.876),     1863.0
ALL,           Albenga,                                     7,                mid,              POINT(8.12314535436409 44.0458773598158),   Italy,                          Albenga,                        POINT(8.2167 44.05),        46.0
AMM,           Queen Alia Int'l,                            7,                major,            POINT(35.989707162193 31.7226621600432),    Jordan,                         Amman,                          POINT(35.9328 31.9497),     730.0
ARI,           Chacalluta Int'l,                            7,                mid,              POINT(-70.3357301410959 -18.3492061639579), Chile,                          Arica,                          POINT(-70.3167 -18.4667),   51.0
ATR,           Atar Int'l,                                  7,                mid,              POINT(-13.0511704323315 20.4982706101565),  Mauritania,                     Atar,                           POINT(-13.05 20.5167),      232.0
BAQ,           Ernesto Cortissoz Int'l,                     7,                mid,              POINT(-74.776555978265 10.8866775959414),   Colombia,                       Barranquilla,                   POINT(-74.8019 10.9833),    30.0
BRC,           Teniente Luis Candelaria Int'l,              7,                mid,              POINT(-71.1614300869763 -41.1459976958105), Argentina,                      San Carlos de Bariloche,        POINT(-71.3 -41.15),        847.0
BYK,           Bouaké,                                      7,                mid,              POINT(-5.06894222275311 7.73610495555032),  Côte d'Ivoire,                  Bouaké,                         POINT(-5.0167 7.6833),      375.0
BZE,           Philip S. W. Goldson Int'l,                  7,                major,            POINT(-88.3082064033075 17.5360686575521),  Belize,                         Belize City,                    POINT(-88.1886 17.4986),    5.0
CRP,           Corpus Christi Int'l,                        7,                major,            POINT(-97.5022678710298 27.7744560700823),  United States,                  Corpus Christi,                 POINT(-97.3767 27.7254),    14.0
CUR,           Hato Int'l,                                  7,                mid,              POINT(-68.9568788072761 12.1848346052019),  Curaçao,                        Willemstad,                     POINT(-68.935 12.108),      10.0
CUZ,           Velazco Astete Int'l,                        7,                major,            POINT(-71.9436641449722 -13.5382186992639), Peru,                           Cusco,                          POINT(-71.9722 -13.525),    3311.0
DAR,           Julius Nyerere Int'l,                        7,                mid,              POINT(39.2074715039165 -6.86672004249119),  Tanzania,                       Dar es Salaam,                  POINT(39.2803 -6.8161),     56.0
DET,           Detroit City,                                7,                mid,              POINT(-83.0039681417733 42.4090938431907),  United States,                  Detroit,                        POINT(-83.1024 42.3834),    191.0
DIL,           Presidente Nicolau Lobato Int'l,             7,                mid,              POINT(125.524854209182 -8.54931157414564),  Timor-Leste,                    Dili,                           POINT(125.5783 -8.5536),    
DME,           Moscow Domodedovo Int'l,                     7,                major,            POINT(37.9002531289452 55.4141528223023),   Russia,                         Balashikha,                     POINT(37.9667 55.8167),     
DUD,           Dunedin Int'l,                               7,                mid,              POINT(170.200027 -45.923431),               New Zealand,                    Mosgiel,                        POINT(170.3486 -45.875),    2.0
DZA,           Dzaoudzi Pamanzi Int'l,                      7,                mid,              POINT(45.2817864197899 -12.8049474381643),  Mayotte,                        Mamoudzou,                      POINT(45.2272 -12.7794),    8.0
ELP,           El Paso Int'l,                               7,                mid,              POINT(-106.395714679366 31.7990860272589),  Mexico,                         Juárez,                         POINT(-106.487 31.7386),    1207.0
EVN,           Zvartnots Int'l,                             7,                major,            POINT(44.4000630536938 40.1523679451884),   Armenia,                        Yerevan,                        POINT(44.5144 40.1814),     866.0
FTW,           Fort Worth Meacham Field,                    7,                major,            POINT(-97.3551348561587 32.8207529047972),  United States,                  Fort Worth,                     POINT(-97.3474 32.7817),    217.0
GDT,           JAGS McCartney Int'l,                        7,                mid,              POINT(-71.1461337448876 21.4421237439063),  Turks and Caicos Islands,       Grand Turk,                     POINT(-71.136 21.4664),     
GLS,           Scholes Int'l,                               7,                mid,              POINT(-94.8554013876264 29.2671239212096),  United States,                  Galveston,                      POINT(-94.8913 29.2484),    2.0
GOM,           Goma Int'l,                                  7,                mid,              POINT(29.2400534952228 -1.6583179500207),   Congo (Kinshasa),               Goma,                           POINT(29.2336 -1.6794),     1552.0
GOU,           Garoua Int'l,                                7,                mid,              POINT(13.3724309377878 9.33068867678854),   Cameroon,                       Garoua,                         POINT(13.4 9.3),            243.0
GUM,           Antonio B. Won Pat Int'l,                    7,                major,            POINT(144.805850357093 13.4926462359465),   Guam,                           Hagåtña,                        POINT(144.7504 13.4745),    91.0
GYY,           Gary/Chicago Int'l,                          7,                mid,              POINT(-87.4083596247406 41.6177930015166),  United States,                  Chicago,                        POINT(-87.6866 41.8375),    
HAH,           Prince Said Ibrahim Int'l,                   7,                mid,              POINT(43.2745612179616 -11.5366393829127),  Comoros,                        Moroni,                         POINT(43.256 -11.699),      28.0
HBA,           Hobart Int'l,                                7,                mid,              POINT(147.505996190408 -42.8376083694822),  Australia,                      Kingston,                       POINT(147.3083 -42.9769),   4.0
HIR,           Honiara Int'l,                               7,                mid,              POINT(160.045855129925 -9.42757566400146),  Solomon Islands,                Honiara,                        POINT(159.9556 -9.4319),    
IEV,           Kiev Zhuliany Int'l,                         7,                mid,              POINT(30.4451305182104 50.412808165985),    Ukraine,                        Vyshneve,                       POINT(30.3581 50.3869),     179.0
IKT,           Irkutsk S.E.,                                7,                mid:military,     POINT(104.355859748002 52.2728893882244),   Russia,                         Irkutsk,                        POINT(104.2833 52.2833),    510.0
IND,           Indianapolis Int'l,                          7,                major,            POINT(-86.2734003650885 39.7302043703969),  United States,                  Indianapolis,                   POINT(-86.1458 39.7771),    243.0
INU,           Nauru Int'l,                                 7,                mid,              POINT(166.91613965882 -0.545037226856384),  Nauru,                          Yaren,                          POINT(166.9209 -0.5477),    
IPC,           Mataveri Int'l,                              7,                mid,              POINT(-109.43006441001 -27.1587738388538),  ,                               ,,                                                          70.0
JUJ,           Gob. Horacio Guzman Int'l,                   7,                mid,              POINT(-65.0937665458812 -24.3861010775846), Argentina,                      San Salvador de Jujuy,          POINT(-65.3 -24.1833),      921.0
KHN,           Nanchang Changbei Int'l,                     7,                mid,              POINT(115.911979918602 28.8624891200666),   China,                          Nanchang,                       POINT(115.8872 28.6842),    0.0
KMG,           Kunming Wujiaba Int'l,                       7,                major,            POINT(102.742117578823 24.999996110081),    China,                          Kunming,                        POINT(102.7061 25.0433),    1895.0
LBA,           Leeds Bradford,                              7,                major,            POINT(-1.65983106734746 53.8690819474434),  United Kingdom,                 Bradford,                       POINT(-1.75 53.8),          208.0
LBV,           Libreville Leon M'ba Int'l,                  7,                mid,              POINT(9.41022337820712 0.457139229503759),  Gabon,                          Libreville,                     POINT(9.4542 0.3903),       12.0
LFW,           Lomé Tokoin,                                 7,                mid,              POINT(1.25093205640014 6.16687362722297),   Togo,                           Lomé,                           POINT(1.2228 6.1319),       22.0
LWO,           Lviv Danylo Halytskyi Int'l,                 7,                mid:military,     POINT(23.9461269598944 49.8178506050005),   Ukraine,                        Lviv,                           POINT(24.0322 49.8425),     328.0
MAJ,           Marshall Islands Int'l,                      7,                mid,              POINT(171.281919370648 7.06811848557091),   Marshall Islands,               Majuro,                         POINT(171.3833 7.0833),     2.0
MFM,           Macau Int'l,                                 7,                major,            POINT(113.57451294862 22.1576572529634),    China,                          Zhuhai,                         POINT(113.5678 22.2769),    7.0
MGQ,           Aden Adde Int'l,                             7,                mid,              POINT(45.3036374186202 2.01635311214988),   Somalia,                        Mogadishu,                      POINT(45.3419 2.0392),      10.0
MPM,           Maputo Int'l,                                7,                mid,              POINT(32.5741915194782 -25.924276711787),   Mozambique,                     Maputo,                         POINT(32.5833 -25.9667),    45.0
MRU,           Sir Seewoosagur Ramgoolam Int'l,             7,                mid,              POINT(57.6769860076636 -20.4317567793216),  Mauritius,                      Curepipe,                       POINT(57.5263 -20.3188),    57.0
NAP,           Naples Int'l,                                7,                major,            POINT(14.2828444340203 40.8780728843639),   Italy,                          Casoria,                        POINT(14.3 40.9),           91.0
NDB,           Nouadhibou Int'l,                            7,                mid,              POINT(-17.0334398691538 20.9290523064387),  Mauritania,                     Nouadhibou,                     POINT(-17.0333 20.9333),    5.0
NGB,           Ningbo Lishe Int'l,                          7,                major,            POINT(121.461819388484 29.8208231906861),   China,                          Ningbo,                         POINT(121.5492 29.875),     4.0
NKC,           Nouakchott Int'l,                            7,                mid,              POINT(-15.9519259252201 18.0979231718174),  Mauritania,                     Nouakchott,                     POINT(-15.9785 18.0858),    3.0
NOU,           La Tontouta Int'l,                           7,                mid,              POINT(166.217232118699 -22.0136386248981),  New Caledonia,                  Nouméa,                         POINT(166.458 -22.2758),    16.0
OAK,           Oakland Int'l,                               7,                major,            POINT(-122.213261257863 37.7123036951691),  United States,                  San Leandro,                    POINT(-122.1599 37.7074),   2.0
ONT,           Ontario Int'l,                               7,                major,            POINT(-117.592327651651 34.060191102066),   United States,                  Rancho Cucamonga,               POINT(-117.5667 34.1247),   288.0
ORK,           Cork,                                        7,                major,            POINT(-8.49014199983817 51.8485405419923),  Ireland,                        Cork,                           POINT(-8.47 51.8972),       154.0
PDG,           Minangkabau Int'l,                           7,                mid,              POINT(100.285455851791 -0.786045714026273), Indonesia,                      Padang,                         POINT(100.3531 -0.95),      3.0
PDL,           João Paulo II,                               7,                mid,              POINT(-25.6969882198711 37.7433316472933),  Portugal,                       Ponta Delgada,                  POINT(-25.67 37.74),        79.0
PEW,           Bacha Khan Int'l,                            7,                mid,              POINT(71.5188149912667 33.9914027889596),   Pakistan,                       Peshawar,                       POINT(71.5675 34.0144),     370.0
PIK,           Glasgow Prestwick,                           7,                mid,              POINT(-4.61097163901068 55.5088918105142),  United Kingdom,                 Prestwick,                      POINT(-4.6142 55.4956),     20.0
PMG,           Ponta Porã Int'l,                            7,                mid,              POINT(-55.7060793748573 -22.551786560876),  Brazil,                         Ponta Porã,                     POINT(-55.7258 -22.5358),   658.0
PMR,           Palmerston N. Int'l,                         7,                mid,              POINT(175.62128328196 -40.3233178852055),   New Zealand,                    Palmerston North,               POINT(175.6117 -40.355),    47.0
PNI,           Pohnpei Int'l,                               7,                mid,              POINT(158.203304490964 6.98130676512123),   Federated States of Micronesia, Kolonia,                        POINT(158.2081 6.9639),     4.0
PPT,           Tahiti Faa'a Int'l,                          7,                mid,              POINT(-149.609757932429 -17.5594577659942), French Polynesia,               Papeete,                        POINT(-149.5667 -17.5334),  
PSA,           Pisa Galileo Galilei Int'l,                  7,                major:military,   POINT(10.4001343718056 43.6983224157664),   Italy,                          Pisa,                           POINT(10.4 43.7167),        3.0
PZU,           Port Sudan,                                  7,                mid:military,     POINT(37.216065757542 19.5760636531968),    Sudan,                          Port Sudan,                     POINT(37.2167 19.6167),     4.0
RAI,           Praia Int'l,                                 7,                mid,              POINT(-23.4862019883587 14.9449889352832),  Cabo Verde,                     Praia,                          POINT(-23.509 14.918),      71.0
RAK,           Marrakech-Menara,                            7,                mid,              POINT(-8.02460535907989 31.6022946597764),  Morocco,                        Marrakech,                      POINT(-8.0089 31.63),       468.0
RAR,           Rarotonga Int'l,                             7,                mid,              POINT(-159.798156308387 -21.2009821724632), Cook Islands,                   Avarua,                         POINT(-159.771 -21.207),    7.0
REP,           Siem Reap Int'l,                             7,                major,            POINT(103.815780528112 13.4087969693538),   Cambodia,                       Siem Reap,                      POINT(103.8597 13.3622),    19.0
RGA,           Hermes Quijada Int'l,                        7,                mid,              POINT(-67.7530268462675 -53.7814746058316), Chile,                          Puerto Williams,                POINT(-67.6167 -54.9333),   21.0
RGL,           Piloto Civil Norberto Fernandez Int'l,       7,                mid,              POINT(-69.3064711776731 -51.6116980855402), Argentina,                      Río Gallegos,                   POINT(-69.2161 -51.6233),   19.0
RNO,           Reno-Tahoe Int'l,                            7,                major,            POINT(-119.775283308105 39.5058499014703),  United States,                  Reno,                           POINT(-119.8483 39.5497),   1345.0
ROR,           Roman Tmetuchl Int'l,                        7,                mid,              POINT(134.532953466159 7.3644955361292),    Palau,                          Koror,                          POINT(134.4792 7.3419),     54.0
SID,           Amilcar Cabral Int'l,                        7,                mid,              POINT(-22.9440574079648 16.7347932693385),  Cabo Verde,                     Espargos,                       POINT(-22.946 16.756),      54.0
SJJ,           Sarajevo,                                    7,                major,            POINT(18.3366185457127 43.8258872246797),   Bosnia and Herzegovina,         Sarajevo,                       POINT(18.4131 43.8564),     521.0
SKB,           Robert L. Bradshaw Int'l,                    7,                mid,              POINT(-62.7142125047316 17.311125840442),   Saint Kitts and Nevis,          Basseterre,                     POINT(-62.7333 17.3),       52.0
SLA,           Martín Miguel de Güemes Int,                 7,                mid,              POINT(-65.4784760437796 -24.8443742713315), Argentina,                      Salta,                          POINT(-65.4167 -24.7833),   1243.0
SPN,           Saipan Int'l,                                7,                mid,              POINT(145.723694658638 15.1215167197664),   Northern Mariana Islands,       Capitol Hill,                   POINT(145.7546 15.2137),    66.0
SRE,           Juana Azurduy de Padilla Int'l,              7,                mid,              POINT(-65.2928631387847 -19.0139157924657), Bolivia,                        Tarabuco,                       POINT(-64.9167 -19.1667),   2905.0
SXM,           Princess Juliana Int'l,                      7,                major,            POINT(-63.1122760858602 18.042244021474),   Sint Maarten,                   Philipsburg,                    POINT(-63.0458 18.0237),    4.0
TAI,           Ta'izz Int'l,                                7,                mid,              POINT(44.134782731062 13.6854970025574),    Yemen,                          Ta‘izz,                         POINT(44.0219 13.5789),     
TAO,           Qingdao Liuting Int'l,                       7,                mid,              POINT(120.380685949061 36.2677578081039),   China,                          Qingdao,                        POINT(120.4 36.1167),       10.0
TKK,           Chuuk Int'l,                                 7,                mid,              POINT(151.842046037403 7.45761780288443),   Federated States of Micronesia, Weno,                           POINT(151.85 7.45),         4.0
TNG,           Tangier Ibn Battouta,                        7,                mid,              POINT(-5.91288087655914 35.7257656409274),  Morocco,                        Tangier,                        POINT(-5.8039 35.7767),     19.0
TRW,           Bonriki Int'l,                               7,                mid,              POINT(173.145990795301 1.3806686975383),    Kiribati,                       Tarawa,                         POINT(173.0176 1.3382),     3.0
TSE,           Astana Int'l,                                7,                major,            POINT(71.4609441399936 51.0269352907712),   Kazakhstan,                     Nur-Sultan,                     POINT(71.4222 51.1472),     356.0
TSN,           Tianjin Binhai Int'l,                        7,                major,            POINT(117.352723159919 39.1294609909008),   China,                          Tianjin,                        POINT(117.2056 39.1467),    3.0
TSV,           Townsville,                                  7,                major:military,   POINT(146.77067890477 -19.2561814376212),   Australia,                      Townsville,                     POINT(146.8167 -19.25),     6.0
TUC,           Teniente Gen. Benjamin Matienzo Int'l,       7,                mid,              POINT(-65.1081246236248 -26.8357310050714), Argentina,                      San Miguel de Tucumán,          POINT(-65.2167 -26.8167),   456.0
TUN,           Aeroport Tunis,                              7,                major,            POINT(10.2176992447111 36.8474482177219),   Tunisia,                        Tunis,                          POINT(10.1817 36.8064),     7.0
TUS,           Tucson Int'l,                                7,                major,            POINT(-110.937713232132 32.1203523441898),  United States,                  Tucson,                         POINT(-110.8787 32.1541),   806.0
ULN,           Chinggis Khaan Int'l,                        7,                mid,              POINT(106.762873994929 47.8525260966684),   Mongolia,                       Ulaanbaatar,                    POINT(106.9172 47.9203),    1331.0
URC,           Ürümqi Diwopu Int'l,                         7,                major,            POINT(87.4671298487808 43.8983382193653),   China,                          Ürümqi,                         POINT(87.6125 43.8225),     649.0
VLI,           Bauerfield Int'l,                            7,                mid,              POINT(168.319622739662 -17.7016990681781),  Vanuatu,                        Port-Vila,                      POINT(168.3167 -17.7333),   22.0
WWK,           Wewak Int'l,                                 7,                mid,              POINT(143.669102299698 -3.58022689444744),  Papua New Guinea,               Wewak,                          POINT(143.6333 -3.55),      6.0
XCR,           Châlons Vatry,                               7,                military:mid,     POINT(4.19111982574289 48.7803946138566),   France,                         Châlons-en-Champagne,           POINT(4.365 48.9575),       
XMN,           Xiamen Gaoqi Int'l,                          7,                major,            POINT(118.12696884672 24.537192570557),     China,                          Xiamen,                         POINT(118.0819 24.4797),    18.0
YAP,           Yap Int'l,                                   7,                mid,              POINT(138.086430283619 9.49791733361348),   ,                               ,,                                                          28.0
ZLO,           Playa de Oro Int'l,                          7,                mid,              POINT(-104.560095200097 19.1480860285854),  Mexico,                         Cihuatlán,                      POINT(-104.5667 19.25),     11.0
CAY,           Cayenne – Rochambeau,                        7,                mid,              POINT(-52.3638068572357 4.82126714308924),  French Guiana,                  Cayenne,                        POINT(-52.33 4.933),        8.0
UIII,          Irkutsk N.W.,                                7,                mid,              POINT(104.197359284494 52.3616476700131),   Russia,                         Irkutsk,                        POINT(104.2833 52.2833),    
SJW,           Shijiazhuang Zhengding Int'l,                7,                major,            POINT(114.692266598902 38.278140913112),    China,                          Shijiazhuang,                   POINT(114.5086 38.0422),    
GYD,           Heydar Aliyev Int'l,                         7,                major,            POINT(50.0498394867405 40.462746883908),    Azerbaijan,                     Baku,                           POINT(49.8352 40.3667),     
LAK,           Lakatamia Airbase,                           7,                military:mid,     POINT(33.322201334899 35.1063448067362),    Cyprus,                         Latsia,                         POINT(33.3667 35.1),        
CFB,           Cabo Frio Int'l,                             7,                mid,              POINT(-42.0792517520184 -22.9256317091328), Brazil,                         Cabo Frio,                      POINT(-42.0189 -22.8789),   
HEM,           Helsinki-Malmi,                              7,                mid,              POINT(25.0455353698315 60.2493778499587),   Finland,                        Helsinki,                       POINT(24.9375 60.1708),     18.0
LUX,           Luxembourg-Findel,                           7,                major,            POINT(6.21642121728731 49.6343040925102),   Luxembourg,                     Luxembourg,                     POINT(6.1319 49.6117),      377.0
VCE,           Venice Marco Polo,                           7,                major,            POINT(12.3410673004369 45.5048477588455),   Italy,                          Mestre,                         POINT(12.2381 45.4906),     3.0
YNY,           Yangyang Int'l,                              7,                mid,              POINT(128.66298866884 38.0587824162585),    South Korea,                    Gangneung,                      POINT(128.9 37.75),         
TBT,           Tabatinga Int'l,                             7,                mid,              POINT(-69.939473933909 -4.25032469493379),  Colombia,                       Leticia,                        POINT(-69.9333 -4.2167),    86.0
BVB,           Boa Vista Int'l,                             7,                mid,              POINT(-60.6922206338682 2.84119534121157),  Brazil,                         Boa Vista,                      POINT(-60.6714 2.8194),     85.0
LPA,           Gran Canaria,                                7,                major,            POINT(-15.3899245158461 27.9368899716574),  Spain,                          Las Palmas,                     POINT(-15.4314 28.1272),    24.0
ING,           Com. Armando Tola Int'l,                     7,                mid,              POINT(-72.0538569101296 -50.2839008690038), Argentina,                      El Calafate,                    POINT(-72.2833 -50.3333),   224.0
NYO,           Stockholm-Skavsta,                           7,                mid,              POINT(16.9216055584254 58.7851041303448),   Sweden,                         Nyköping,                       POINT(17.0086 58.7531),     43.0
MES,           Polonia Int'l,                               7,                mid,              POINT(98.6761925714641 3.56659179990894),   Indonesia,                      Medan,                          POINT(98.6739 3.5894),      28.0
BGF,           Bangui M'Poko Int'l,                         7,                mid,              POINT(18.524123630208 4.39885153695957),    Central African Republic,       Bimbo,                          POINT(18.5163 4.3313),      369.0
HGH,           Hangzhou Xiaoshan Int'l,                     7,                major,            POINT(120.432097376313 30.2351862790414),   China,                          Hangzhou,                       POINT(120.1675 30.25),      8.0
CXI,           Cassidy Int'l,                               7,                mid,              POINT(-157.34977789343 1.98616119792402),   ,                               ,,                                                          2.0
